A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
6350,176,35883,3411
8139,158,47795,3428
6982,179,43148,3401
6542,177,38239,3421
10079,170,59729,3412
8539,176,50832,3391
9255,157,57834,3404
9703,168,57318,3417
8310,172,47095,3421
7601,162,44915,3414
10889,159,57712,3404
5914,174,34218,3406
10200,164,61251,3426
10773,176,64173,3374
13351,166,79890,3387
5720,186,34466,3418
13476,171,80452,3422
8448,164,49145,3406
10069,158,60208,3421
10328,172,63096,3417
10285,172,59721,3377
7718,186,41892,3396
7968,186,47262,3417
11241,184,69255,3412
8913,168,54394,3413
9310,171,56038,3423
13403,205,80399,3427
11423,151,72173,3426
10716,167,63451,3413
9911,164,59210,3419
8787,242,49587,3415
11681,167,67460,3425
8041,173,46548,3406
12495,158,74960,3427
13507,158,79519,3397
15486,186,91035,3407
10010,178,57748,3402
12841,184,73942,3415
6896,178,40319,3414
15837,181,91408,3427
12265,170,65388,3392
10869,176,62196,3427
6576,180,37193,3416
9862,160,57828,3424
6930,173,39632,3411
8189,171,46372,3421
10753,166,64468,3406
7450,169,42496,3401
6243,298,36337,3429
11907,168,67880,3428
9537,171,55581,3429
11136,185,66138,3429
14228,187,81900,3421
7496,175,43458,3421
15600,165,92376,3397
9564,179,52860,3420
8318,176,48941,3417
11930,173,70567,3423
15054,155,87545,3424
10576,171,63114,3425
9036,183,52759,3421
7597,186,45532,3424
11414,198,66211,3401
6960,176,41003,3425
6016,175,35427,3371
11996,167,73273,3418
7150,167,43590,3424
7865,179,45680,3407
8678,178,51148,3408
9987,163,59019,3418
11606,159,71055,3414
9193,162,54853,3425
9381,177,50189,3423
10014,157,60266,3430
9100,176,54969,3424
7075,181,41260,3368
8170,205,49955,3429
9111,207,55019,3412
5600,174,33254,3403
8584,174,51965,3413
8931,204,54630,3421
7987,173,47261,3425
8958,163,52492,3423
6658,178,39523,3428
15878,162,98220,3412
9098,166,55053,3422
11013,174,66386,3406
9177,158,54674,3423
5693,205,33611,3411
9517,170,57999,3421
6807,225,40249,3398
13355,234,78229,3424
11730,207,59310,3394
13798,166,75574,3418
8964,174,52569,3415
6673,169,39591,3366
9810,179,58413,3406
8418,168,49103,3421
6988,183,40039,3423
7855,170,43092,3417
8605,173,48637,3391
6766,184,40241,3403
7222,183,43314,3409
10914,194,64345,3412
17392,163,95400,3413
10876,192,65945,3420
6584,179,36946,3376
13968,191,78556,3420
9205,168,53449,3385
10671,169,64006,3426
7668,174,45319,3421
15399,180,90848,3408
8828,179,50244,3419
11107,157,65011,3410
6610,188,36977,3418
9679,162,54949,3423
7522,172,43654,3367
9073,173,52439,3420
11687,185,67991,3420
14198,177,82828,3407
7258,178,41095,3427
8599,176,49386,3409
8947,174,52397,3426
7849,195,44518,3426
6177,173,34593,3425
8588,257,50011,3366
10369,208,58862,3421
9344,187,51902,3384
13187,186,69614,3417
13388,166,78033,3426
10829,185,61811,3424
6171,172,34746,3411
12966,168,76585,3414
7913,166,47704,3422
8875,165,52360,3396
8759,183,44933,3428
9494,190,52841,3422
12408,186,71776,3410
7059,182,41032,3421
10868,182,62369,3428
5948,181,34580,3425
9635,176,56269,3416
10321,202,58178,3411
5823,209,33930,3400
6370,170,37101,3428
7267,181,40805,3425
6100,187,34270,3418
6107,185,34290,3400
15659,177,92180,3400
11752,199,68575,3423
12558,171,74003,3407
10995,170,65052,3425
7239,181,41501,3428
11188,172,64860,3426
7444,207,42461,3421
7772,173,45033,3422
13145,161,79930,3420
10806,170,64491,3424
12613,172,74598,3423
16267,161,97937,3424
8901,159,55941,3421
9224,162,55960,3403
6465,173,37396,3420
16853,154,101300,3410
10629,180,59781,3423
11693,181,61011,3425
9304,160,56207,3426
5415,170,33319,3416
9806,188,57508,3375
13810,168,81225,3421
11108,177,64063,3428
7289,188,42726,3427
7326,174,41827,3406
10907,179,63380,3420
11180,173,65298,3426
5614,200,32208,3411
10570,172,62213,3417
9391,172,55204,3419
11851,183,69856,3425
11085,167,65733,3407
10437,172,61865,3410
8017,190,46154,3426
9996,167,59823,3428
12732,169,73117,3417
14172,174,79826,3425
8817,163,52910,3413
10663,163,63381,3386
13374,181,79209,3420
13159,167,78453,3405
6554,179,38444,3387
8358,170,50263,3407
7588,185,44378,3390
8845,181,51276,3425
7038,190,41516,3414
10559,177,61007,3415
11277,210,58871,3427
7690,180,44337,3416
8244,201,48420,3426
16877,149,101905,3423
8435,180,49572,3409
7774,178,43469,3415
10575,172,59964,3425
7632,162,46305,3406
7988,166,48995,3384
7354,184,43909,3423
9828,156,61716,3404
18140,162,111482,3405
11331,178,68059,3428
7501,170,45184,3424
14611,175,88654,3421
11283,167,70372,3426
12586,162,77190,3421
6900,171,41063,3415
8903,160,52670,3417
8162,177,48577,3408
6885,173,40795,3429
5975,182,35506,3419
13644,173,81724,3415
10070,169,60514,3405
11150,175,66644,3430
10170,180,59206,3386
8797,182,51735,3427
9792,154,58188,3420
8947,162,55078,3393
8403,157,50404,3423
8027,161,49577,3426
12461,270,64931,3418
6026,164,35454,3404
5791,227,34199,3400
10218,146,63144,3401
11050,170,69588,3388
7686,165,46803,3414
7315,196,43867,3426
6549,176,37976,3395
8806,161,54437,3409
8831,161,53683,3430
7656,212,45675,3391
15751,165,95213,3408
11170,173,67465,3420
10627,163,65184,3425
6471,181,38535,3426
6168,174,36843,3429
8160,181,49908,3415
5823,176,34172,3403
7562,167,44071,3420
11666,146,72350,3417
10946,169,69208,3418
9289,163,55515,3409
6263,179,37246,3411
