A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
1249,3317,4959,35379
1848,5332,7044,53928
649,4379,2468,46714
1683,4065,6417,42222
607,3402,2575,40030
1949,4587,7307,46717
1273,4301,4915,48773
1381,3598,5915,40518
1292,5150,5232,55591
2046,5582,7209,56527
1553,4060,5076,44750
1141,4256,4200,45598
1086,2520,4675,35134
1192,4217,4671,42618
969,5459,3717,58451
1160,3502,5002,44935
2494,4098,10532,42578
1500,4781,6393,49533
586,2633,2371,34338
1701,2959,6735,33658
3399,4032,12489,49495
459,3191,1810,37266
1334,5025,5212,53255
646,1085,2641,12735
1565,3920,6430,42343
2869,4415,10076,55780
3005,4789,12408,58246
1457,3724,6006,46595
330,946,1201,9582
732,4004,2717,47225
2353,4042,8205,42896
1202,4318,4985,46615
712,2791,2882,29937
1244,5180,4397,52928
2260,4187,8887,44170
2338,5207,7651,52601
234,3125,888,37148
414,1172,1699,16519
775,5579,2973,54473
1523,3734,6264,46616
1014,3059,3892,40616
106,563,393,7132
960,3418,3485,42760
674,2057,2848,28348
398,3776,1656,37975
1636,3279,6770,37658
697,4509,2514,46510
4643,5140,16143,56167
646,1572,2692,24696
1008,4057,3877,41494
937,4602,3427,53421
979,3779,3992,42574
1907,4587,7496,54875
300,1658,1112,21045
1170,3549,4792,32967
1558,4623,6754,48967
1041,3195,4365,32872
5451,4188,20866,53197
1142,3073,4801,37575
368,903,1430,15233
3250,5680,12764,58557
782,3551,2809,41587
2158,5587,8175,56122
3068,4634,13156,55509
371,1755,1453,26583
995,4254,4025,49520
819,3556,3353,41192
651,3061,2656,33702
575,2210,2506,29473
991,4899,3864,56467
543,2448,2129,24723
474,1125,1830,13168
1760,4514,4696,51312
846,2419,3354,28713
827,2638,3245,31716
418,2613,1483,33775
261,2229,1044,24632
2734,3978,11887,49485
586,3685,2402,44667
854,4242,3375,43462
1319,4200,5146,47047
478,2428,2049,25262
654,3117,2694,32941
1277,4500,5343,48718
2405,3798,9257,46021
557,3570,2210,36516
632,1534,2672,23402
1564,2448,6326,33744
1042,3700,4568,47457
730,4037,2921,47556
3522,3731,15866,41541
4845,5685,17375,58287
1011,4299,4294,46625
2407,4916,9363,53168
1001,3262,4237,41300
227,1571,722,22029
835,4896,3137,51711
654,1805,2870,25676
1772,4998,7373,56229
1640,3985,6314,46624
3086,3665,12200,46284
2425,4721,9876,54203
868,2801,3273,33030
640,2559,2740,34693
3802,5301,12841,56113
667,3362,2812,35293
1020,4346,4031,45095
2114,4198,7923,51422
1648,4205,6774,45351
6327,4574,21709,57294
1068,4808,4214,53728
454,1210,1600,19917
848,4889,3247,57106
1059,5336,4328,54075
2383,5811,9831,58213
517,1475,2205,23554
304,4397,1108,47990
785,3612,3411,38893
653,2078,2559,21648
803,2191,3502,31775
2019,3506,7965,43958
1613,5028,6540,55435
1937,4119,8231,47671
1823,4033,6801,50043
2050,4373,8136,54965
550,2534,2234,28989
948,3766,3813,42312
6355,5679,24765,56661
563,1805,2324,21787
1589,3751,5917,43793
1540,4025,5824,49857
400,2651,1669,30137
2335,3518,9316,46069
3017,4449,9967,50702
1042,3765,3544,44701
515,4897,2005,47827
1546,3573,6579,45491
1354,3314,5396,37536
850,3024,3814,33050
2402,5572,9639,57116
1980,5331,7905,53911
1103,4142,4398,46458
2142,4667,8877,54424
885,2520,3086,33465
1639,4969,6120,54761
1800,4119,6958,50233
1851,4107,7464,50299
1022,3639,4010,41439
1321,4404,5244,48860
770,3301,2780,34511
1158,4050,4588,48046
196,617,757,11682
1049,4919,4285,49585
1118,3221,4480,42643
1211,3576,4796,44377
2149,4716,8755,53757
551,4114,2047,43231
518,2719,2097,31062
929,4960,3583,51743
2232,3163,9264,39268
2498,5496,9289,58216
1839,4265,7086,49994
1736,4817,6830,56996
2866,4782,11708,47146
684,2449,2662,26108
1062,3355,4162,40085
377,1178,1512,15625
2382,5354,8174,53350
983,5249,3603,57466
9443,5552,35876,56306
764,2891,3065,33411
505,3542,1990,39375
1415,4149,5804,44629
1415,5545,5825,55741
1441,3779,5580,45445
87,111,279,2040
600,3437,2434,37905
1107,3486,4580,43245
393,2440,1636,26588
1587,3453,5747,41770
2783,5298,9541,57871
235,774,852,12898
2119,4833,8289,56454
1579,5191,5985,51730
1000,2724,3950,35015
460,1890,1560,26266
1913,4723,7378,54146
2816,3628,11145,47256
1434,2890,5854,31622
1857,4414,7084,55210
464,3859,1845,48107
989,4494,3722,56164
354,2159,1386,30574
1444,3857,5009,46419
228,1078,867,14205
568,3081,2605,34957
535,2262,2055,32130
3602,4481,13169,53621
966,2619,3483,30042
933,2572,3654,36513
245,957,865,12530
1107,4059,4488,45051
845,3471,3359,44246
313,1733,1268,18907
174,1673,616,19641
1128,4682,4824,49649
2342,4614,8938,51651
1127,4248,4434,51327
1083,4470,4364,48069
2582,4799,9786,46895
580,2804,2456,30060
1587,4506,5541,49489
1294,3174,4919,33992
1401,5306,5549,54068
1460,3746,5351,44979
369,751,1462,12674
4352,4713,16097,57360
1010,2896,4494,38348
3232,5591,12057,58347
1052,3461,4208,43213
507,4082,1887,40932
701,2906,2840,33567
1772,4222,7248,44711
1301,5146,5120,57158
298,1080,1207,16853
1049,4061,3506,41974
905,3890,3673,40176
455,1513,1568,16087
1143,5426,4044,56856
1425,5018,5250,49437
263,1295,1065,18721
4592,5436,16449,56010
1058,3357,4796,41597
2120,3283,8577,41592
416,1084,1781,16122
3179,4753,10974,55134
681,1611,2887,22540
591,2406,2512,27312
1879,5307,6756,54763
614,4261,2557,44891
615,1893,2366,22122
195,1087,811,12697
324,941,908,13929
877,4324,3395,45065
728,3722,2999,46828
594,2510,2538,33848
1666,4084,6564,47318
234,1436,914,20727
706,3687,3000,41620
3185,5216,12612,53053
1014,2291,4356,29113
2222,4974,8970,54710
1643,4966,6291,54377
835,4771,3319,54412
457,1366,1667,17513
294,3291,1215,38616
2654,5371,10302,58696
761,2505,3278,30528
1536,3832,5743,47709
101,195,359,3231
891,3336,3901,36345
409,2279,1507,24370
178,818,630,9953
305,1315,1196,15238
548,2364,2019,27560
284,1518,1134,16638
1315,3306,5130,36145
1877,4556,7041,56818
1007,1704,4240,20729
2195,3632,8875,48908
569,1999,2296,21711
4027,4165,5808,43584
2231,4934,9815,55983
3076,4489,12049,54208
2440,5154,10178,53248
472,2115,2069,27445
1396,4387,5529,49194
2247,5142,8381,51237
731,2960,2914,31530
254,586,941,9239
922,2026,3847,23533
821,2437,3266,33642
2684,3441,9597,44377
216,380,933,7205
1020,4356,4038,51160
128,518,483,6352
2564,4600,10031,46431
837,2689,3099,30178
1080,2393,3891,29075
2158,2324,9023,33421
3221,5261,13125,52835
969,4351,3808,48206
724,4937,2323,55628
2390,4984,9754,54173
720,2226,2604,24147
577,2911,2260,35518
523,1328,1682,18830
806,4944,3002,55718
695,4996,2718,48701
583,2797,2455,34425
1015,2753,3973,30745
949,3041,3704,39069
1262,3473,5158,45074
530,2554,2090,34484
517,2569,2044,29796
1788,4444,6932,46019
201,1036,750,11906
360,2272,1394,27084
518,1492,2080,23073
479,2032,2008,27575
1017,4148,3926,41958
2460,5093,9372,50350
1909,5844,7038,57167
1925,5108,7053,53873
416,2366,1590,34644
1415,3686,4992,39064
137,253,505,3145
2159,3407,8354,43404
1145,2039,4485,29181
256,1922,1003,22066
1144,3107,4683,38065
1420,4073,5515,47398
898,3503,3572,38777
4237,4660,15815,49952
624,3795,2507,44787
496,3320,1914,38450
2171,3698,8264,40389
1602,3141,6126,39700
4617,3968,17090,50589
524,2106,1990,23354
1903,4917,6988,53529
341,1874,1281,24653
265,1418,945,21284
890,3574,3542,38439
1367,4701,5469,48806
699,2199,2800,29697
1063,4274,4115,43768
1851,4862,6945,56233
1875,4854,7355,57489
1838,4768,7144,55238
848,4415,3501,52265
1082,4173,4187,51027
876,3554,3617,36858
1220,2460,5018,30250
1362,4084,4814,41773
1835,3861,6728,45033
2132,4991,8556,58100
1516,5131,5657,51894
382,3021,1531,34469
802,4082,3142,47702
800,2064,3544,27547
3503,4035,13744,52775
1786,5441,7443,58055
565,1571,2228,18642
1718,4170,6583,54097
1374,2763,5913,35709
1180,3584,4195,40418
1560,5308,6891,56958
