A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
3773,16806,12323,145699
36,120,109,888
2012,18631,7430,150440
6546,25982,18953,165489
817,7813,2777,65653
1873,14620,6365,114914
1360,10568,4435,98840
3012,20599,9664,175573
1299,11644,3718,91511
3301,29266,9818,224314
3121,15082,9374,127742
2168,13941,8457,112819
3577,25419,10819,186724
4897,21366,14801,175286
2062,15421,7379,131165
552,3369,1952,36170
1782,23104,5960,181433
1099,18001,3892,141404
691,12658,2391,92114
2423,20308,7241,152402
35,189,94,1896
318,1214,1067,10665
441,2690,1509,22821
1511,27559,5207,217095
3749,25969,11170,216559
1415,11510,5080,92705
817,11684,2671,94281
264,1789,606,16247
6785,28693,19551,222943
3124,14486,9121,125974
236,1572,840,13447
1857,11500,5872,97299
10592,28470,31295,211252
2273,26456,6950,209291
835,11524,2842,95574
4378,19144,13517,171621
4545,14246,14588,129821
1749,24401,6102,178460
4393,21275,13551,159188
2465,11120,7963,86407
19673,29882,55243,235796
756,6933,2349,54874
161,343,577,6036
9001,27559,24994,207497
1596,8901,5064,74577
7520,26019,21380,204304
3708,20029,11563,157931
4896,22307,15825,185410
15585,29115,41497,228527
1797,15938,6097,131119
1250,5694,4041,47794
1226,9107,3660,69956
531,4267,1932,44585
1118,14240,3882,113345
3939,24583,12010,197322
265,1769,1004,21406
1615,14187,4798,103305
1735,18105,5883,126712
3274,15576,10112,126339
538,6413,1820,51613
2187,14354,6622,119609
2766,11129,8833,98397
2970,20335,10012,166921
365,3242,1259,27410
910,5217,3390,51806
1250,16203,4230,127861
1881,17521,6126,127275
2527,15980,8649,128673
2577,20839,8859,163180
6564,23038,19225,189244
219,1483,666,11859
825,3524,2429,29941
127,1005,413,8269
9547,29359,26866,222175
7679,26399,23404,206858
1698,13004,5604,109037
510,5462,1811,45175
1086,11391,3809,96896
411,4755,1490,41290
2228,19829,8094,162545
2872,19496,9599,159102
790,7124,2607,63314
460,2278,1611,20476
3548,27853,10669,216589
4551,17427,13303,144905
1222,9682,3895,78703
2334,18621,7681,141476
786,6996,2289,54827
4874,33430,14989,217382
6706,18313,19336,138340
451,6784,1664,57029
926,12210,2839,101645
760,9314,2492,76389
4283,23574,14131,180869
1714,15223,6093,119340
2742,20008,9211,159361
1953,10887,6032,87054
5548,11294,19393,92458
897,18166,3005,141234
1161,11738,4077,96920
1764,12840,5390,95300
1997,12766,6066,104896
627,6612,2071,53527
2174,9305,7061,75314
2955,23069,9066,174035
9072,24579,24294,167927
887,6487,2627,57597
9266,22835,27300,192626
1982,8551,6669,85209
2723,17926,9011,162113
2524,14408,8763,125677
1279,15671,4523,120910
2781,18396,7706,149234
1838,18710,5962,146339
4931,22998,15512,190167
3256,26616,9830,193626
5232,29935,16713,184549
1356,20397,4067,161475
900,10017,3396,87083
4897,27897,15616,219277
17456,29675,46729,228402
839,7350,2963,62251
2419,8633,7323,71505
10514,21020,30098,171192
3974,22879,12577,172665
2009,21149,6709,166806
330,3794,1105,31724
2344,10876,8371,96637
1754,9119,5735,78585
1775,13692,4420,108680
8772,27551,26789,208490
4314,28962,14062,224495
1558,13229,5318,98827
4471,27421,13467,222287
1646,19427,5429,153091
89,826,292,12019
4369,22751,15531,190584
4695,21301,15321,180867
2243,31223,6497,221649
2100,23945,7063,187676
3729,13864,11467,112982
940,9985,3205,80091
2167,11927,7338,99047
1201,13792,3831,98560
921,8408,2931,71256
172,980,616,10630
534,6061,1738,48225
5995,27959,18554,206436
872,14677,2773,113536
4130,24082,13909,182574
8874,26780,24453,205488
1393,14004,4454,103766
2664,23785,8522,182921
422,4186,1448,37401
5135,16561,18143,133792
3859,17132,11547,136803
5095,20593,15991,181017
218,1196,720,10266
997,18114,3309,137440
186,406,650,6878
2056,12631,6820,105081
660,10000,2482,77783
3775,21339,10760,168940
2772,19633,9471,163544
944,7346,2851,71102
4137,22656,12883,192844
184,1453,681,15647
137,1080,495,11088
307,2981,837,26342
941,6011,3450,57058
2000,15025,6338,125108
22108,28644,65687,220381
6286,27396,17609,223038
3986,12117,11750,99233
32,109,57,695
100,899,334,8207
93,235,349,4048
