A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
57350,28507,232414,235312
96497,36074,331571,230371
40811,29274,156406,225311
59491,24507,252705,218991
85213,28395,337843,227001
54606,31645,193012,230475
58331,27715,245756,223986
54512,29081,217919,230249
50937,31630,211493,226130
36148,39012,154912,225269
46640,29546,178879,229243
106803,30055,422436,235807
42583,31507,168466,233502
112801,32931,417102,234917
64908,29208,259818,230589
83994,28399,326021,229675
65257,28896,251143,217382
58760,31627,196889,232544
32083,29880,131597,232166
58569,30916,223508,230855
51727,28553,206085,231968
85761,28326,300507,222038
108738,30416,401430,232846
71862,30645,303406,233892
133540,35052,495022,222380
113081,28448,427523,234319
52623,26880,205949,231863
99717,28036,376839,233493
75818,29798,271057,223214
86594,28733,351377,235487
71097,30591,259873,226902
78167,29563,306207,229344
94147,28148,348487,235899
48764,31401,195423,235883
52728,27015,215223,230391
79319,27809,314090,231835
81776,29006,319987,232346
200759,28502,736898,234444
88787,29744,374249,235279
117663,26790,461964,233394
56698,28414,213605,225979
66608,26813,252432,232156
62353,39357,271918,229149
72711,29261,307410,233086
66052,28232,275011,222689
57445,31432,217723,234323
78182,31248,311162,235085
65862,28208,264442,230961
64295,27588,257437,232528
54952,30493,223305,234965
77545,29324,284803,232509
93404,27661,366754,219005
76147,31075,314416,234685
44708,30666,175907,224131
87872,29140,323225,223587
55028,29020,220403,231535
79018,28217,304390,226950
81463,30417,315725,225571
41928,28734,167981,228570
80544,28152,322297,232504
44928,26718,177376,221868
40419,26762,170791,208298
87140,31006,327852,221831
127877,27599,495254,230539
76453,27490,294429,225866
38689,36284,167254,229144
34104,29836,137557,232794
116761,28697,440548,235024
100371,29625,382797,233499
79599,31207,275877,235303
118113,28509,446480,235408
37519,26822,161936,215788
125247,36055,505953,226955
123761,28859,485355,234659
57630,27158,222513,229748
121581,28806,460307,231434
100916,29329,400666,211881
36504,27330,144358,225053
72558,30224,277344,222665
69776,38739,287246,232879
77703,28583,303237,233113
46208,28480,193035,231318
79680,27512,344004,224397
63287,30040,238391,217608
44284,30977,167861,232992
95030,25329,387969,212439
44041,27162,185771,230600
115627,28436,395108,213299
34665,30256,139559,226263
65602,26229,271228,218295
80385,28818,312618,235704
89088,31052,308588,232663
32199,31065,130568,227580
67748,30254,248686,234774
55403,29681,199060,233430
91472,30652,326190,225427
81275,26434,327464,234423
87412,25748,353600,225059
79491,39799,313248,230053
71085,28522,299553,231607
104880,28267,412454,216698
78480,30575,289381,233652
133525,30836,491687,229721
66785,28407,258682,234026
54651,26154,228901,218305
85575,37374,322734,233764
92542,28884,365758,234931
44738,29771,169022,227426
60388,28848,257702,228335
68794,29055,281325,235643
51941,29038,217903,235299
36763,28590,157898,212197
93449,29085,364850,233816
69455,28365,251373,226975
93556,28499,371176,233445
92552,29896,369060,230134
69957,30978,256638,235591
66448,29689,260334,208700
96017,28107,361251,227325
54656,27965,213466,223990
75594,44695,284252,216292
120201,28689,454649,227457
56242,29977,171802,234176
59444,31120,226227,231964
60740,32425,250428,232599
98786,24950,398580,206630
79802,28169,321785,225467
76289,27325,308886,229842
49387,28700,206636,223328
80182,28052,297948,235409
73490,30664,308948,235586
47364,28872,191269,234438
122851,29763,476981,226187
56824,28249,225137,228609
66532,26101,266736,231074
68651,26713,294517,229040
92833,26594,369629,225117
99504,30205,398053,231577
131099,33632,497387,232928
54369,27307,208025,215789
73288,26306,325237,224783
73560,30342,280734,234141
