A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
90,206,355,4935
12,24,44,518
25,36,103,769
201,383,895,6513
396,572,1830,12391
653,573,2865,14157
197,488,861,11647
44,144,158,3327
71,243,272,5808
368,472,1575,11905
345,563,1483,14136
140,412,596,10011
97,82,440,2166
516,610,1420,14601
138,481,515,11506
197,301,921,7496
26,57,110,1338
112,334,470,8017
214,306,993,7059
480,623,1978,13372
94,233,418,5830
53,117,216,2783
67,240,262,5203
429,536,1728,13603
173,546,782,12845
110,151,477,3946
44,122,173,2898
72,236,302,5868
270,402,1146,9611
32,30,119,687
121,373,520,9223
150,696,655,8281
3,5,6,31
44,215,185,3845
137,343,623,8536
11,17,42,307
75,194,313,4804
43,93,180,2245
14,24,58,437
114,262,497,6570
148,398,627,9665
311,260,1388,6406
102,206,474,4876
336,477,1400,11708
121,234,593,5711
345,528,1475,12777
69,285,278,6824
27,60,105,1446
51,195,233,4500
95,319,393,7744
201,495,796,11836
311,320,1418,7497
185,333,754,7331
271,450,1179,10782
243,389,1069,8951
385,537,1521,13004
276,599,1156,14239
165,225,719,5650
46,79,196,1933
1,3,4,4
130,257,540,6225
13,24,43,498
141,311,596,7501
71,327,302,7653
373,491,1685,12288
532,497,2110,11019
200,297,902,5918
181,452,813,8028
19,44,74,1013
241,500,1099,11767
236,451,1088,10966
142,370,568,8594
418,529,1865,13753
338,550,1436,14070
138,437,540,10203
181,399,809,9817
262,356,1107,8663
43,54,153,1275
7,10,26,150
219,352,946,8944
191,447,786,11180
301,511,1171,12666
111,494,478,10318
393,544,1635,13353
237,565,1053,11771
10,16,32,274
218,477,945,11638
83,224,359,5062
19,37,74,813
37,88,157,1958
101,414,461,9584
25,28,61,582
22,68,89,1548
106,257,481,6320
340,442,1473,10292
43,220,180,5342
154,313,608,7234
36,101,140,2436
697,505,3092,10386
151,407,601,9577
145,485,525,11860
378,557,1531,12677
181,673,729,14185
56,105,220,2594
190,542,820,12166
158,350,721,8196
157,363,724,8763
79,244,358,5573
51,115,214,2505
73,325,289,7575
127,327,511,7878
260,503,1108,11739
59,106,205,2542
184,381,777,8465
843,625,3458,14332
44,165,183,3750
105,329,457,7208
313,461,1204,10040
250,481,1010,10880
222,489,880,8416
90,268,352,5856
43,134,178,2922
261,351,1101,8199
326,430,1383,10626
82,142,358,3353
75,296,308,7042
267,382,1131,8951
171,510,705,12282
59,134,240,3020
489,697,2043,14259
38,140,145,3089
478,606,2122,13396
99,329,373,7772
28,69,113,1329
34,159,135,3773
131,461,558,10795
38,89,157,2020
99,262,411,5986
294,560,1247,12661
12,18,43,321
15,26,59,537
79,212,334,5562
90,75,176,1797
84,318,331,7506
