A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
731,3437,2868,41639
205,1176,779,16051
49,573,156,7660
612,4500,1905,46392
1302,4785,4809,47093
503,3422,1981,44271
48,108,155,2121
1657,5143,6078,56999
1170,3946,4456,43890
553,1378,2058,20254
245,2471,974,28660
76,487,260,6735
787,2664,3119,35966
43,117,148,2153
470,2719,1856,30683
143,1331,510,15966
578,3445,2469,37262
1249,4435,4558,50344
145,472,515,5644
926,4188,3470,50512
240,891,931,14980
250,1548,897,17286
422,1636,1632,23595
673,3649,2233,40202
632,4993,2389,52927
86,416,305,5115
2460,3643,9661,44952
463,1835,1810,28636
251,1549,856,24098
738,4462,2663,46352
83,173,266,2336
251,2350,875,29102
666,3435,2358,35972
107,745,412,12806
35,121,124,1271
300,613,794,10774
787,2625,2745,35726
22,37,61,544
1103,4538,4197,51896
436,2963,1800,35758
168,962,641,16367
217,2332,864,26596
871,3099,3353,36587
286,1614,1056,22168
100,470,372,7159
1072,6276,4368,50579
764,2234,2978,31935
1088,4535,4001,46436
2034,4812,6707,46196
27,52,78,893
195,1721,759,23998
119,903,460,14060
102,722,379,8341
990,3219,3880,39087
524,2556,1692,32946
1901,4299,7019,51241
1302,4161,4606,49325
649,3265,2449,37663
932,4916,2848,50443
588,3555,2382,42516
203,1000,699,11047
1510,2877,5181,37992
361,3390,1383,39201
447,1491,1638,21958
294,2177,1239,25438
570,2901,2289,36378
147,968,565,15432
731,2877,2856,36897
791,4292,2388,43891
229,994,910,16074
397,2642,1525,28103
1824,4993,6674,50825
1091,4973,4119,55002
676,3388,2323,35746
397,1982,1514,24651
387,2950,1459,32934
2419,6059,8943,57764
1069,2626,3905,35496
25,84,79,1102
456,2420,1694,27362
626,3452,2339,44927
851,7601,3316,50025
242,1854,955,20671
562,2746,2291,36885
281,1573,1136,22473
268,864,1029,14895
293,1922,1222,21954
527,2948,2100,36678
826,3789,3070,40348
219,986,844,16053
329,1598,1248,23976
334,3271,1233,41658
355,2319,1396,28024
2095,5189,7108,53949
803,3360,3223,42074
244,2520,940,31177
146,452,515,8767
869,4371,2906,46265
275,1147,1087,16944
179,543,730,9092
83,449,334,6572
175,1185,679,12806
1596,2582,5316,36013
1322,4888,4608,56856
74,534,254,5814
1074,4692,4208,54166
56,119,201,2229
206,2014,807,24924
1242,3661,4433,36994
989,4296,3773,48710
108,354,421,5366
402,1892,1512,27344
45,166,130,2137
1888,5314,7200,55817
636,3490,2378,44605
945,4310,3411,48078
63,114,128,1877
828,1818,3361,26176
1700,4859,6304,56420
523,4007,2094,46289
131,493,519,8425
765,2859,3106,31494
570,2738,2349,36384
958,4214,3620,44530
1218,5156,4165,56416
258,628,1049,10792
1463,3257,4591,36144
38,63,88,1045
91,391,333,6633
2398,4515,8781,52485
326,688,1237,11018
2342,5743,8765,57872
505,2754,2124,31030
435,1283,1767,19178
435,3847,1681,43507
721,2848,2674,30393
1705,4868,5882,58471
257,817,911,14477
953,4273,3935,47453
151,375,537,7210
340,3534,1228,42443
647,3845,2429,41637
3420,5037,11667,55661
311,1120,1248,13254
359,848,1062,10697
691,3951,2517,41507
1464,3266,5121,40157
375,1411,1456,20940
340,1179,1172,14466
172,1545,651,19784
362,2053,1195,23314
883,3245,3416,35745
1174,2433,4469,32537
248,2106,1007,25896
781,4316,2947,47880
2306,4660,8444,53634
1027,4342,3970,43166
452,2046,1825,27154
370,1963,1329,21836
364,1704,1543,21847
105,512,381,6845
143,1101,516,13597
110,519,407,7930
290,3317,1073,33734
251,2566,1011,32982
956,4518,3637,44487
580,2063,2282,28774
647,4294,2383,45810
279,1417,1010,18811
100,402,276,4708
171,483,639,8685
1116,3773,4123,46113
745,4632,2669,53320
455,3286,1510,35573
603,2564,2441,32064
2438,5167,9190,52240
145,569,470,7163
78,463,268,5925
1691,5014,6274,58569
1334,3021,4667,38182
66,425,245,4797
122,1065,484,14691
89,518,317,8385
898,4302,3471,50159
489,2814,1927,36849
604,3766,2513,41876
1576,4414,5880,44066
1135,2903,4233,36956
1300,4863,4626,53922
1904,4074,6720,42206
55,274,197,3189
619,4854,2225,54106
430,2934,1559,34000
652,2720,2023,34432
5150,5252,17744,58258
481,1310,1962,21592
216,1054,781,12179
1523,1796,5689,25419
24,41,70,411
794,3297,2912,32556
367,2367,1418,27796
644,3458,2397,37081
1608,2740,5979,32846
829,2615,3026,36548
1861,5603,7110,56450
699,3856,2626,46593
343,1581,1303,25142
307,3123,1140,33237
98,672,355,12069
444,1525,1768,24699
482,4198,1853,43112
1125,4477,4445,50422
342,2038,1224,26694
263,2671,917,32458
2504,4858,8927,54283
373,3239,1352,36514
462,2539,1946,26085
814,3360,3128,43806
377,2438,1142,28650
2961,4767,10593,56566
2380,4506,9026,54472
792,3508,3110,39481
33,119,104,1800
1036,3448,4093,42584
388,2787,1337,31046
1967,3414,7416,44223
48,87,162,1566
1078,2704,4311,34257
1033,3875,3585,39140
431,2668,1604,29435
3704,5678,12955,57555
384,1824,1513,27687
972,5365,3580,51562
1114,4955,3967,50160
448,2398,1394,27693
460,4234,1806,44575
404,3842,1490,46924
410,3678,1569,42617
1105,4562,4084,44821
209,1943,788,25734
555,2956,1977,37436
160,1466,585,17426
110,1084,348,11871
134,554,513,6729
3081,5980,9799,58247
1107,5158,3761,49416
544,4221,1947,44179
33,105,93,1233
683,2984,2493,31546
41,163,126,2326
383,3321,1556,31662
647,3299,2203,34904
32,141,96,1678
163,1149,592,14707
879,4237,3078,41787
442,1535,1190,17805
830,4589,2896,48419
318,2504,1259,27190
28,112,80,1429
67,476,227,4734
76,281,249,3199
117,466,433,5662
603,4748,2165,51242
404,1191,1308,16695
1027,4894,3906,51096
539,1448,2132,23404
2451,4563,8277,54472
785,2336,2744,25215
563,2988,2251,40302
741,4162,2651,40190
1130,4999,4485,52584
1482,4224,5435,49111
84,307,292,5083
3541,4667,11763,50317
815,3184,3002,35852
99,701,369,9349
149,426,546,5189
258,808,1016,10759
383,1818,1523,25617
115,676,355,9039
402,775,1151,13187
42,146,144,2521
573,3111,2118,35296
209,1262,817,13937
179,950,542,10731
1016,2221,3410,24095
467,2656,1865,34843
671,2052,2523,29428
522,1502,2043,24407
52,471,166,5423
683,3824,2537,43708
282,578,1165,9845
89,876,289,10391
973,3696,3856,45631
446,2960,1647,34048
435,2464,1713,25022
92,631,330,10328
381,2879,1512,33422
403,2141,1501,25817
67,179,240,2493
1090,3639,4250,38077
579,2230,2252,26806
982,4307,3824,51933
365,982,1276,14417
646,1420,2434,22643
249,863,765,15350
66,238,260,3954
226,1977,867,24743
300,702,1010,9043
307,2589,1121,29026
104,239,390,4480
799,3927,3131,36800
730,5256,2619,53976
147,404,541,5987
531,2201,2037,25069
1008,4893,3773,55445
1018,6913,4249,47778
272,3039,1031,31843
86,699,278,8599
91,306,283,3638
2940,4674,10225,56480
725,1723,2659,18642
154,395,574,6925
1056,4965,4022,58730
93,166,335,3019
693,3692,2570,46364
356,1779,1430,26112
20,33,52,305
1494,4345,5042,51008
93,275,334,4990
1611,5732,6080,56157
84,389,276,5178
464,3647,1872,37204
98,585,364,7368
41,198,135,2749
749,4323,2848,44638
173,838,641,14416
2423,5646,8577,57223
55,225,185,2654
79,346,281,5939
97,451,363,6680
119,541,470,8192
222,1249,844,15421
426,1536,1595,21046
72,312,243,4469
231,1642,879,24254
72,231,229,4296
189,1923,743,19506
117,559,465,7801
83,215,311,3959
1085,4057,4124,37914
49,153,149,2429
360,1749,1265,25135
1038,3504,3881,39384
96,305,341,3293
2076,5720,7383,54113
488,4512,1851,43773
479,4220,1756,43084
504,2618,1755,33537
2134,4598,7703,52678
374,3486,1231,37471
554,3878,2216,40643
136,1226,439,19174
1146,3873,4264,44353
276,1567,1050,17673
3931,5951,12001,55192
998,5216,3648,54022
1315,3747,4748,38528
16,33,40,322
398,4700,1487,53700
220,1302,870,17973
458,2911,1800,39294
95,533,344,7778
2122,3959,8497,48277
1049,3880,3996,48433
89,293,325,3734
711,6514,2707,39874
761,3398,2723,43525
207,1372,562,21569
121,279,465,5556
1424,4864,4655,53541
1650,5126,6200,49744
494,3500,1932,38057
441,4724,1623,47866
163,1040,518,14562
1316,1928,4625,24262
189,488,756,9670
30,106,92,1973
126,953,452,9982
196,420,562,6966
241,1277,977,15744
1024,3433,3882,33153
652,3916,2323,43924
