A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
71,149,163,2304
735,3396,2520,37945
1184,1992,4372,19792
179,475,503,8944
43,283,132,4949
869,3019,3111,37517
439,2021,1518,26528
4296,3575,16408,45224
661,3933,2472,42488
35,131,106,2032
168,484,617,7075
238,1971,933,22110
822,3658,3457,45774
520,1115,2116,15860
218,938,867,15781
233,1983,890,24367
705,2714,2542,26847
153,291,576,4346
1771,4857,6614,56745
255,1500,1073,20838
840,5128,3272,55463
1126,5267,4385,51242
494,3678,1808,42854
2448,5642,9003,56448
1719,4970,6289,50836
805,3253,3164,38597
1431,5403,4981,53998
410,1633,1566,20801
118,516,448,5585
458,2389,1784,33807
1573,4858,5721,49982
663,3724,2340,40116
511,814,2038,9479
234,683,950,11689
176,994,617,12596
2029,5338,7561,56848
241,1627,878,23226
895,5071,3402,51925
172,1882,618,25094
401,2293,1627,31675
609,3427,2192,29870
720,1105,2651,14171
45,140,153,2213
66,316,237,5094
3456,5833,11847,58428
268,2382,928,25315
1097,4093,3794,49166
120,445,453,6072
78,489,264,6226
211,2262,819,29924
90,87,179,1214
3042,5569,11168,56381
861,1683,3321,25887
745,3336,2618,38214
99,500,256,5857
1558,4050,5575,47508
1569,3826,5846,45720
1270,2599,4633,34118
199,1386,754,17962
263,1777,875,22242
985,3495,3661,35031
373,3288,1408,34866
392,2792,1304,31676
475,1806,1827,21855
119,734,455,8072
764,5619,2835,55963
467,2340,1544,28961
1986,4791,7191,56359
565,1388,1960,16847
857,4101,3009,47724
2021,3593,7754,43497
152,479,527,5710
516,1571,2022,18312
208,1626,799,18006
780,4909,2869,47074
45,144,133,1602
171,655,625,8409
1510,5049,5000,49658
2261,4850,7864,49901
832,3790,2998,40115
514,2730,1946,28906
985,4749,3591,48084
505,2549,1946,27681
311,735,892,13073
95,778,301,9985
279,762,1116,13270
1505,5275,5747,55996
25,49,66,508
104,653,393,10404
49,163,158,1997
184,1690,677,19832
336,2313,1263,28263
720,3544,2797,39149
757,3098,2910,37960
90,415,310,4797
335,1949,1295,26876
372,926,1398,15554
15,31,37,242
64,74,246,1354
1115,5298,4404,52067
580,2224,2396,24209
283,1352,786,20821
910,4591,3595,48825
246,1425,995,21484
389,1300,1509,20348
1643,3924,5856,41085
137,699,455,9859
104,1099,345,12551
96,361,348,4608
1317,4513,4649,40608
914,2956,3499,38592
719,4373,2597,45556
490,1781,1983,25732
1116,4372,4086,46340
164,1485,628,18159
2297,4861,8319,58823
765,3158,2856,31781
65,336,242,4857
830,5270,3062,52133
187,1691,560,18801
198,735,753,8737
214,1717,765,17578
1063,4379,4004,52305
392,1447,1553,17322
744,2064,2546,22456
365,1183,1129,14161
1011,3341,3982,40251
210,1786,795,20508
1754,4446,6570,46851
1040,3449,3922,42584
674,7818,2192,48767
230,2431,857,31783
419,3206,1268,39545
487,3293,1792,40071
96,355,367,6075
1094,4666,4056,56158
1534,5557,4825,51740
1471,5293,5136,53102
33,217,86,2981
91,1042,317,11034
345,1395,1198,14636
948,5303,3344,53475
717,2739,2659,37133
53,309,169,3600
31,122,97,1400
89,1021,310,11875
9,27,14,319
254,3049,1044,31908
71,172,242,3335
505,2238,1894,25495
743,1864,2811,23168
143,392,471,6680
479,2157,1959,22861
30,202,100,2843
176,1339,644,17182
1155,2739,4323,27640
384,1087,1521,17890
223,1181,847,17595
584,1953,2269,19756
101,801,379,9883
472,2364,1238,29642
380,2439,1455,33728
2259,5661,8072,53959
1568,4894,5440,48008
902,4077,3291,39811
466,2788,1814,30790
588,3012,2245,29817
1850,5828,6363,56801
635,4061,2487,43617
240,2629,889,28996
1095,4140,4093,41124
97,945,341,10359
181,1082,646,8431
1292,4452,4228,44313
719,4980,2461,47924
977,5311,3603,47108
48,452,152,4624
1822,2564,5551,28337
673,3285,2287,34534
956,3565,3512,37643
12,30,20,342
908,4714,3517,52622
890,3823,3510,43713
928,2647,3081,29276
938,4627,3853,47692
1482,4437,5321,45429
288,1873,1206,21512
113,506,445,5442
519,1896,2040,21554
25,64,70,1111
1362,3612,4884,37311
102,665,374,8885
61,578,224,6328
450,3808,1636,39197
1631,5075,5703,50502
101,800,365,9658
574,2592,2123,27834
1698,5109,5944,56383
675,5317,2213,53293
114,207,355,2554
422,1910,1241,21838
928,2900,3400,31763
3484,5088,11724,57947
61,321,201,4245
1070,3270,4230,35056
43,74,143,1372
159,524,542,6846
61,220,113,2317
692,2843,2538,27288
819,3996,2895,40188
1197,2664,4188,30711
1720,5827,5716,56128
2221,4623,7933,55587
172,529,623,5747
974,2238,3781,27863
487,1712,1796,23850
432,5330,1658,53149
632,4101,2357,41742
84,324,285,3735
429,3136,1688,34748
1080,3113,3891,38802
257,2549,904,29421
360,1634,1374,18257
256,726,920,9222
947,3027,3591,36817
74,273,180,3122
214,1179,840,18507
274,1120,988,13449
34,131,97,1449
851,4643,3240,48394
759,4964,2982,52491
426,937,1106,16055
105,687,410,8401
258,1915,1021,21474
95,1042,316,16818
881,3631,2610,43927
189,707,719,10591
1004,3891,3697,43223
189,1166,697,16739
578,2748,2106,36435
45,112,141,1773
583,4687,2162,47889
1109,4217,4429,48662
946,3476,4006,35649
1031,1372,4370,22365
1107,5398,4183,56437
204,1296,753,17037
281,1757,1168,19885
257,1497,726,17607
1251,5960,4486,58337
1107,3926,4239,40064
79,180,295,2841
1005,3085,3620,41066
415,3089,1374,38734
1531,5796,5775,58388
207,470,795,8806
32,203,100,2538
2067,5329,7339,56001
2907,4808,10350,55365
1802,5909,6642,58683
844,4176,2720,50464
1029,5378,3942,52025
102,670,369,8136
341,2506,1223,28510
164,1159,601,13329
924,4820,3472,55438
763,2074,2771,22341
56,198,203,3729
896,4642,3597,47216
855,2133,3383,29822
372,2377,1290,33278
445,1117,1709,18186
165,864,623,13233
213,3621,830,39687
1451,4070,5411,46863
1062,3157,4096,38066
190,1017,690,14187
926,3998,3459,42526
89,690,323,7511
2,12,1,1
126,904,475,13499
38,114,122,1217
311,2973,1167,31818
6055,4614,19764,55963
391,2853,1322,30886
641,1870,2376,25396
586,2880,2115,35115
198,570,762,7287
22,130,55,1221
359,2338,1387,27336
568,2661,2302,26959
