ScenarioId,Obstacle percentage,A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
10,0,64,85,235,2070
11,5,60,89,224,1947
12,10,59,91,227,1841
13,15,60,94,240,1752
14,20,64,94,268,1642
15,25,72,94,318,1523
16,30,90,92,413,1393
17,35,131,84,611,1205
18,40,116,52,572,720
