ScenarioId,Number of targets,A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
40,2,6008,20204,18505,156945
41,4,11150,24100,36861,188309
42,8,21313,26951,74057,209407
43,16,41608,29148,148038,221877
44,32,76917,29672,295852,228643
45,64,147814,30395,591353,232194
46,128,287737,31210,1183050,234017
47,256,566591,32169,2364024,234945
48,512,1120322,32637,4726110,235412
