ScenarioId,Obstacle percentage,A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
1,0,116,106,439,2676
2,100,74,31,353,653
3,90,77,32,371,656
4,80,76,32,366,652
5,70,77,32,360,653
6,60,83,33,396,653
7,50,85,33,414,652
8,40,90,34,446,655
9,30,97,35,488,652
10,20,106,36,547,652
11,10,112,37,579,653
