ScenarioId,Grid size,A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
28,8,4,1,20,32
29,16,12,6,52,140
30,32,36,26,146,587
31,64,109,113,441,2408
32,128,355,524,1439,9784
33,256,1321,3566,5015,39189
34,512,5888,19909,18592,157195
