ScenarioId,Number of targets,A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
19,2,147,139,453,2466
20,4,291,200,906,2956
21,8,499,236,1814,3284
22,16,1005,366,3649,3470
23,32,1953,597,7274,3576
24,64,3718,992,14505,3631
25,128,7015,1707,29132,3659
26,256,13467,3144,58192,3674
27,512,29604,6761,116194,3681
