1, 1, 32, 10, 15, 32
1, 2, 32, 20, 10, 32
1, 3, 32, 30, 10, 32
1, 4, 64, 40, 2, 32
1, 5, 64, 50, 2, 32
2, 6, 16, 10, 2, 32
2, 7, 32, 10, 2, 32
2, 8, 64, 10, 2, 32
2, 9, 128, 10, 2, 32
2, 10, 256, 10, 2, 32
3, 11, 128, 50, 2, 32
3, 12, 128, 50, 3, 32
3, 13, 128, 50, 4, 32
3, 14, 128, 50, 5, 32
3, 15, 128, 50, 6, 32
4, 15, 128, 50, 6, 8
4, 15, 128, 50, 6, 32
4, 15, 128, 50, 6, 64
4, 15, 128, 50, 6, 96
4, 15, 128, 50, 6, 126
5, 15, 128, 50, 6, 32
5, 15, 128, 50, 6, 32
5, 15, 128, 50, 6, 32
5, 15, 128, 50, 6, 32
