ScenarioId,AStarExecutionTime,BFSExecutionTime,AStarNodesVisited,BFSNodesVisited
28,155,126,238,2016
29,120,198,236,1963
30,133,191,233,1878
31,80,123,217,1716
32,97,151,237,1631
33,86,129,242,1499
34,101,129,291,1407
35,138,111,411,1207
36,141,82,351,732
