ScenarioId,Grid size,A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
10,8,4,2,22,40
11,16,14,8,54,155
12,32,41,32,148,617
13,64,139,135,453,2458
14,128,608,619,1553,9851
15,256,3989,3979,5777,39281
16,512,34922,23069,21159,156890
