ScenarioId,AStarExecutionTime,BFSExecutionTime,AStarNodesVisited,BFSNodesVisited
10,8,2,22,40
11,26,11,55,157
12,55,48,148,620
13,159,174,447,2429
14,683,878,1539,9851
15,4631,5248,5842,39246
16,36164,24645,20836,154552
17,357090,134595,77428,629042
