ScenarioId,AStarExecutionTime,BFSExecutionTime,AStarNodesVisited,BFSNodesVisited
19,174,237,458,2461
20,282,231,918,2944
21,540,292,1755,3273
22,1241,503,3648,3479
23,2421,763,7231,3578
24,4874,1397,14480,3629
25,8259,2185,29216,3659
26,15243,3691,57480,3673
27,35103,8250,118490,3681
